Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.127959	0.972116	0.486520	0.755396	0.755396	92.792465	92.792463	18465.700577	8374.312500	81920.000000	10.222549	7227.104492	9736.000000	
0.000100	0.017944	0.999306	0.478191	0.754779	0.755396	191.307598	90.171821	18939.452166	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.009904	0.999792	0.496682	0.754779	0.755396	286.646676	90.115746	18823.131728	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.006781	0.999931	0.483513	0.784789	0.784789	383.913807	91.791340	18811.776562	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.005646	0.999931	0.545373	0.786639	0.786639	483.192192	90.648474	18844.495472	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.004366	1.000000	0.545919	0.718191	0.786639	582.074630	90.284321	18820.413022	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.003460	1.000000	0.523808	0.745529	0.786639	676.659492	89.436646	18656.468858	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.003371	0.999931	0.548897	0.774923	0.786639	770.673686	88.892217	18496.168470	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.002760	1.000000	0.531721	0.751490	0.786639	866.529717	90.775252	18389.686226	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.002325	1.000000	0.547531	0.776567	0.786639	961.073145	89.569640	18260.389749	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.002170	1.000000	0.625333	0.793834	0.793834	1057.064627	90.918504	18162.292230	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001821	1.000000	0.591821	0.724769	0.793834	1154.911772	89.189776	18093.617762	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001759	1.000000	0.572472	0.710175	0.793834	1250.263252	90.250415	17984.556017	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001729	1.000000	0.590879	0.780267	0.793834	1344.901566	89.129675	17867.977952	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001525	0.999931	0.563392	0.731552	0.793834	1439.912084	89.692011	17758.915698	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001412	1.000000	0.544751	0.758068	0.793834	1535.488585	89.871492	17658.118730	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001424	0.999931	0.594534	0.769990	0.793834	1630.539556	89.647704	17552.278748	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
