Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.144161	0.967885	0.346695	0.857760	0.857760	92.803955	92.803952	27748.382568	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.022340	0.999029	0.332633	0.868037	0.868037	190.421352	89.405266	28372.781435	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.013019	0.999306	0.340682	0.860226	0.868037	289.626981	91.147033	28673.071074	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.008653	0.999584	0.336306	0.858787	0.868037	383.762484	89.301579	28398.423839	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.006869	0.999723	0.335636	0.864543	0.868037	478.186468	89.608997	28213.001605	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.004975	0.999931	0.355628	0.849949	0.868037	573.087212	89.709800	28081.273404	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.004369	0.999861	0.364262	0.849538	0.868037	667.935656	89.799803	27957.878166	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.003594	1.000000	0.376628	0.855293	0.868037	764.603185	91.093377	27908.016250	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.003245	1.000000	0.352803	0.862898	0.868037	859.541326	89.965617	27791.836209	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.002617	1.000000	0.376208	0.853649	0.868037	954.353890	89.857815	27676.262815	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.002522	1.000000	0.376160	0.847893	0.868037	1048.273242	89.070308	27540.997007	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.002187	1.000000	0.353363	0.858376	0.868037	1143.064632	89.574816	27433.551172	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.002063	1.000000	0.382735	0.847688	0.868037	1237.664786	89.523133	27323.830272	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001951	0.999931	0.372231	0.859404	0.868037	1332.063044	89.215886	27212.145048	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001780	1.000000	0.388982	0.856115	0.868037	1427.613745	90.187957	27124.661150	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001582	1.000000	0.372470	0.852621	0.868037	1521.971018	89.323282	27014.985562	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001521	1.000000	0.387525	0.855087	0.868037	1617.208319	89.748256	26921.762015	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001508	1.000000	0.377886	0.859404	0.868037	1712.771711	90.307374	26833.423474	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001374	1.000000	0.385350	0.856115	0.868037	1809.410088	91.143577	26760.222874	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001242	1.000000	0.411321	0.847893	0.868037	1903.952383	89.442339	26655.333356	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001181	1.000000	0.409448	0.847276	0.868037	1998.763358	90.175385	26554.998901	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001130	1.000000	0.404825	0.854471	0.868037	2093.924048	90.424042	26459.585694	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.001095	1.000000	0.373202	0.859198	0.868037	2188.899575	89.732541	26361.964444	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000994	1.000000	0.409776	0.848715	0.868037	2283.068547	89.313141	26255.288291	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000992	1.000000	0.391108	0.858787	0.868037	2377.257622	89.312824	26149.833842	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000965	1.000000	0.425589	0.848510	0.868037	2472.158779	89.897776	26052.750211	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000935	1.000000	0.389220	0.860432	0.868037	2567.842918	90.037620	25963.745064	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000894	1.000000	0.437930	0.845838	0.868037	2663.476050	90.919664	25873.767347	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000892	1.000000	0.446205	0.844399	0.868037	2757.609528	89.181883	25769.385585	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000834	1.000000	0.468798	0.845427	0.868037	2851.695376	89.144748	25665.258383	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000700	1.000000	0.465714	0.843371	0.868037	2948.010290	91.125723	25581.121550	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000692	1.000000	0.439493	0.844193	0.868037	3042.563283	89.602137	25481.467495	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000752	1.000000	0.475621	0.843988	0.868037	3138.475385	90.875957	25393.119024	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000744	1.000000	0.425979	0.845632	0.868037	3232.332129	88.926191	25288.245476	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000670	1.000000	0.446920	0.850976	0.868037	3326.894766	89.628049	25189.346084	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000718	1.000000	0.423016	0.853649	0.868037	3420.897559	89.180225	25086.582097	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000640	1.000000	0.441231	0.855087	0.868037	3516.823034	90.385406	24997.958323	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000656	1.000000	0.479547	0.842549	0.868037	3611.162457	89.424758	24898.014833	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000579	1.000000	0.423637	0.851593	0.868037	3705.925216	89.806549	24801.191833	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000665	1.000000	0.439564	0.850154	0.868037	3801.100347	90.202662	24707.152256	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000597	1.000000	0.453598	0.844810	0.868037	3894.817558	88.736133	24603.847498	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000592	1.000000	0.449263	0.846660	0.868037	3990.212026	89.820126	24511.302443	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000502	1.000000	0.451910	0.845838	0.868037	4084.700120	89.120156	24413.207697	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000536	1.000000	0.504200	0.840493	0.868037	4179.460766	89.355092	24316.862636	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000544	1.000000	0.497514	0.841727	0.868037	4273.705814	89.349150	24217.666280	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000464	1.000000	0.470657	0.846454	0.868037	4368.470157	89.562671	24121.552607	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000504	1.000000	0.451155	0.845838	0.868037	4463.581418	90.160807	24027.363805	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000501	1.000000	0.448854	0.849538	0.868037	4557.817728	89.208615	23928.543070	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000467	1.000000	0.475353	0.843782	0.868037	4652.761042	89.543949	23833.531050	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000456	1.000000	0.478689	0.846660	0.868037	4747.731146	89.461558	23738.655729	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000399	1.000000	0.462159	0.847276	0.868037	4842.875851	90.075487	23644.629153	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000461	1.000000	0.498979	0.843371	0.868037	4937.655436	89.846739	23548.818231	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000407	1.000000	0.487741	0.843782	0.868037	5034.322717	91.150490	23461.843604	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000488	1.000000	0.497997	0.843577	0.868037	5128.655445	89.089422	23363.874804	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000405	1.000000	0.489955	0.841521	0.868037	5224.208421	90.409084	23271.473874	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000394	1.000000	0.492733	0.849332	0.868037	5318.693236	89.527842	23174.306242	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000379	1.000000	0.485085	0.841727	0.868037	5412.810515	89.153930	23075.665880	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000361	1.000000	0.494988	0.839466	0.868037	5508.775853	91.036360	22984.892354	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000371	1.000000	0.488193	0.842138	0.868037	5604.316079	90.182425	22892.206355	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000368	1.000000	0.475453	0.847071	0.868037	5699.130029	89.866750	22796.520118	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000377	1.000000	0.461366	0.853032	0.868037	5793.576073	89.518008	22699.421006	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000356	1.000000	0.503245	0.842960	0.868037	5888.196465	89.679320	22603.076754	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000481	0.999931	0.478370	0.849332	0.868037	5982.123183	88.947857	22504.177688	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000374	1.000000	0.508087	0.841521	0.868037	6076.918077	89.835700	22408.635411	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000315	1.000000	0.509331	0.839877	0.868037	6171.172571	89.303651	22311.162373	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000336	1.000000	0.490871	0.847482	0.868037	6266.407706	90.286772	22217.263683	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000367	1.000000	0.504992	0.838027	0.868037	6360.738883	89.401775	22120.181490	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000334	1.000000	0.483735	0.842549	0.868037	6455.915331	90.235819	22026.064072	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000340	1.000000	0.502356	0.839877	0.868037	6552.036343	90.544321	21935.078193	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000339	1.000000	0.497268	0.844193	0.868037	6645.932997	88.988106	21836.636989	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000350	1.000000	0.480468	0.847071	0.868037	6739.744970	88.988641	21738.050677	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000320	1.000000	0.513782	0.841110	0.868037	6834.329015	89.513750	21642.041879	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000289	1.000000	0.522139	0.831655	0.868037	6928.088351	88.950177	21543.507612	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000271	1.000000	0.515583	0.841521	0.868037	7022.895382	89.984899	21448.302113	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000294	1.000000	0.508080	0.841521	0.868037	7118.390934	90.121777	21355.172803	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000279	1.000000	0.526459	0.840699	0.868037	7212.542055	89.305065	21258.018689	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000271	1.000000	0.528107	0.840493	0.868037	7306.068678	88.673664	21159.133964	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000319	1.000000	0.534587	0.841316	0.868037	7401.428850	90.089261	21065.605188	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000280	1.000000	0.525126	0.841316	0.868037	7496.981575	90.601954	20972.568710	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000242	1.000000	0.511218	0.841316	0.868037	7591.759606	89.794188	20877.338916	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000243	1.000000	0.530197	0.840699	0.868037	7686.912666	89.680405	20783.134246	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000276	1.000000	0.494387	0.843782	0.868037	7781.342996	89.532112	20686.985039	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000245	1.000000	0.534859	0.835355	0.868037	7875.627237	89.109714	20590.495307	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000265	1.000000	0.524112	0.841110	0.868037	7969.463797	88.483273	20492.906907	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000257	1.000000	0.543338	0.837616	0.868037	8064.812700	90.077467	20399.232122	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000285	1.000000	0.523604	0.838438	0.868037	8160.381367	90.755430	20306.065263	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000287	1.000000	0.517830	0.842549	0.868037	8255.051888	89.828285	20210.644277	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000266	1.000000	0.505947	0.845221	0.868037	8350.674193	90.602515	20117.533283	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000253	1.000000	0.520229	0.841110	0.868037	8446.732078	90.677600	20025.398523	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000249	1.000000	0.521263	0.843165	0.868037	8541.683011	89.983003	19930.593692	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000199	1.000000	0.529559	0.840493	0.868037	8635.832925	88.871316	19833.945949	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000246	1.000000	0.525923	0.841521	0.868037	8730.554322	89.670302	19738.644554	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000244	1.000000	0.548822	0.837821	0.868037	8825.396688	89.784389	19643.624885	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000238	1.000000	0.543078	0.839054	0.868037	8921.483930	90.808571	19551.337123	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000262	1.000000	0.527907	0.847276	0.868037	9016.057726	89.613649	19455.703514	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000267	1.000000	0.526760	0.843371	0.868037	9110.356297	89.194821	19359.507130	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000200	1.000000	0.546313	0.839671	0.868037	9205.223238	89.923643	19264.539353	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000192	1.000000	0.511872	0.845427	0.868037	9300.182271	89.972021	19169.763458	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000206	1.000000	0.537239	0.841932	0.868037	9395.186859	89.441236	19075.076350	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000208	1.000000	0.511263	0.842138	0.868037	9489.694555	89.558677	18979.389111	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000207	1.000000	0.523989	0.841932	0.868037	9583.587915	88.826461	18882.514804	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000171	1.000000	0.536644	0.841727	0.868037	9678.726421	90.189795	18788.115993	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000235	1.000000	0.494763	0.846454	0.868037	9773.407211	89.493973	18692.827383	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000178	1.000000	0.505073	0.845838	0.868037	9867.959655	89.356887	18597.308581	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000173	1.000000	0.546722	0.837821	0.868037	9963.441392	90.464776	18503.534013	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000239	1.000000	0.568145	0.849743	0.868037	10057.719465	89.395504	18407.524305	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000235	1.000000	0.545377	0.843782	0.868037	10153.176206	90.205649	18313.672969	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000178	1.000000	0.539050	0.840288	0.868037	10247.205557	89.139410	18217.254323	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000175	1.000000	0.496462	0.848715	0.868037	10341.564736	89.386647	18121.457474	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000165	1.000000	0.553947	0.836793	0.868037	10436.030395	89.560748	18025.870683	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000190	1.000000	0.546049	0.836999	0.868037	10530.419980	89.313421	17930.174561	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000173	1.000000	0.518020	0.843165	0.868037	10624.927123	89.555029	17834.699100	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000170	1.000000	0.568312	0.834327	0.868037	10719.354151	89.281112	17739.108196	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000169	1.000000	0.576026	0.840699	0.868037	10816.286603	91.208601	17647.625511	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000188	1.000000	0.573284	0.833916	0.868037	10910.914914	89.396843	17552.341384	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000172	1.000000	0.547570	0.835560	0.868037	11005.510560	89.492991	17457.016751	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000150	1.000000	0.521016	0.842343	0.868037	11099.869313	89.121744	17361.334053	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000187	1.000000	0.548002	0.834738	0.868037	11194.120367	89.159266	17265.507685	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000186	1.000000	0.534876	0.840904	0.868037	11289.355767	89.974786	17171.204991	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000187	1.000000	0.525581	0.843371	0.868037	11383.754047	89.019553	17075.631071	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000212	1.000000	0.531669	0.842549	0.868037	11481.260846	92.225762	16984.675136	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000159	1.000000	0.529156	0.843165	0.868037	11577.469213	90.577198	16891.717377	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000174	1.000000	0.554527	0.833710	0.868037	11672.012523	89.467602	16796.310703	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000172	1.000000	0.532269	0.839877	0.868037	11766.556495	89.485072	16700.918896	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000167	1.000000	0.523124	0.844193	0.868037	11861.890677	90.276664	16606.646948	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000153	1.000000	0.517582	0.842960	0.868037	11956.908658	89.698229	16511.921480	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000167	1.000000	0.552805	0.844604	0.868037	12051.484472	89.089709	16416.589084	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000167	1.000000	0.540149	0.839877	0.868037	12145.850749	89.454408	16320.986944	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
