Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.137184	0.968995	0.352266	0.853854	0.853854	92.912564	92.912562	18489.600149	8374.312500	81920.000000	10.222549	7227.104492	9736.000000	
0.000100	0.021420	0.998405	0.342017	0.859815	0.859815	191.360851	90.405783	18944.724277	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.011273	0.999653	0.341012	0.859198	0.859815	288.506990	88.747363	18945.292356	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.007886	0.999931	0.356863	0.851387	0.859815	383.444891	89.910415	18788.799681	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.006060	0.999861	0.380821	0.848510	0.859815	478.919896	90.585142	18677.875949	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.004897	0.999861	0.360083	0.853649	0.859815	574.433189	90.179035	18573.339775	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.004335	1.000000	0.447637	0.863515	0.863515	669.481562	90.205334	18458.563077	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.003402	1.000000	0.413112	0.856732	0.863515	768.766013	90.824187	18450.384304	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.003097	0.999931	0.401999	0.849538	0.863515	863.657788	89.874100	18328.737502	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.002638	1.000000	0.440099	0.847276	0.863515	959.508777	90.912909	18230.666766	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.002469	1.000000	0.422966	0.858376	0.863515	1054.246941	89.935328	18113.879265	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.002068	0.999931	0.444937	0.841316	0.863515	1148.752687	89.740042	17997.125426	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001989	1.000000	0.455399	0.854882	0.863515	1243.286375	89.742297	17884.196318	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001868	1.000000	0.406686	0.860637	0.863515	1339.229562	90.684618	17792.621318	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001666	1.000000	0.423827	0.855293	0.863515	1433.334903	88.777714	17677.797137	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001634	0.999861	0.467314	0.853649	0.863515	1528.622176	89.800773	17579.155026	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001450	1.000000	0.455594	0.855704	0.863515	1624.396162	90.176148	17486.146923	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001352	1.000000	0.443284	0.856115	0.863515	1719.807714	90.050057	17389.166891	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001379	1.000000	0.476685	0.855293	0.863515	1814.535380	89.570311	17285.837040	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
